============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam5
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:01
============================================================

[2026-06-16 00:00:01] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 11:02:36] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:03:06] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:03:36] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:04:07] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:04:37] [DBG] [PERF] FPS=1.0 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:05:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:05:07] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:05:37] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:06:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:06:37] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:07:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:07:38] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 11:08:08] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:08:38] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:09:08] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:09:38] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:10:08] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:10:10] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:10:40] [DBG] [PERF] FPS=1.0 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 11:11:11] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:11:41] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:12:11] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:12:41] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:13:11] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:13:42] [DBG] [PERF] FPS=1.0 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:14:13] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:14:43] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:15:09] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:15:14] [DBG] [PERF] FPS=1.0 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 11:15:45] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:16:15] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 11:16:45] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:17:15] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:17:45] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:18:15] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:18:46] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:19:16] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:19:46] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
